,,,,"1=Present, 0=Absent",,,,,,,,,,
52,23.48625,152.08757,80,1,20,60,,,,,,20,100,
53,23.48627,152.08784,100,1,50,50,,,,,,,100,
54,23.48643,152.08792,90,1,45,45,,,,,,10,100,
55,23.48663,152.08788,90,1,90,,,,,,,10,100,
56,23.48674,152.0881,90,1,45,45,,,,,,10,100,
57,23.48686,152.08852,90,1,70,20,,,,,,10,100,
58,23.48701,152.08865,80,1,70,10,,,,,20,,100,
59,23.4871,152.08891,90,1,45,45,,,,,,10,100,
60,23.48735,152.08897,0,0,,,,,,,100,,100,
61,23.48749,152.08922,80,1,,80,,,,,,20,100,
62,23.48762,152.0894,80,1,40,40,,,,,,20,100,
63,23.48789,152.08954,100,1,50,50,,,,,,,100,
64,23.48809,152.08954,100,1,90,10,,,,,,,100,
65,23.48822,152.0898,90,1,45,45,,,,,10,,100,
66,23.48843,152.08987,100,1,50,50,,,,,,,100,
67,23.48848,152.09015,100,1,,100,,,,,,,100,
68,23.48871,152.09012,100,1,80,20,,,,,,,100,
69,23.48889,152.09033,90,1,40,50,,,,,,10,100,
70,23.489,152.09061,100,1,10,50,40,,,,,,100,
71,23.48927,152.09067,90,1,90,,,,,,10,,100,
72,23.48952,152.09073,90,1,45,45,,,,,,10,100,
73,23.4897,152.09094,80,1,,80,,,,,10,10,100,
74,23.48995,152.09094,90,1,40,,50,,,,,10,100,
75,23.49015,152.09109,60,1,,30,30,,,,30,10,100,
76,23.4903,152.09132,70,1,55,10,5,,,,20,10,100,
77,23.49052,152.09149,90,1,55,15,10,10,,,10,,100,
78,23.4907,152.09158,0,0,,,,,,,100,,100,
79,23.49088,152.09167,90,1,45,45,,,,,,10,100,
80,23.49111,152.0919,80,1,,80,,,,,20,,100,
81,23.49137,152.0919,20,1,5,15,,,,,80,,100,
82,23.49156,152.09207,60,1,10,40,10,,,,40,,100,
83,23.49182,152.0921,100,1,100,,,,,,,,100,
84,23.49208,152.09213,100,1,10,90,,,,,,,100,
85,23.4923,152.09229,100,1,50,50,,,,,,,100,
86,23.4926,152.09239,30,0,,10,20,,,70,,,100,
87,23.49275,152.09267,100,1,100,,,,,,,,100,
88,23.49302,152.09283,100,1,50,50,,,,,,,100,
89,23.49311,152.09271,100,1,50,50,,,,,,,100,
90,23.49343,152.09285,0,0,,,,,,,100,,100,
91,23.49363,152.09302,90,1,,80,,10,,,10,,100,
92,23.49393,152.09302,85,1,45,40,,,,,5,10,100,
93,23.49426,152.09319,100,1,50,50,,,,,,,100,
94,23.4945,152.09337,100,1,50,50,,,,,,,100,
95,23.49476,152.09335,100,1,50,50,,,,,,,100,
96,23.49505,152.09337,100,1,100,,,,,,,,100,
97,23.49525,152.09364,100,1,50,50,,,,,,,100,
98,23.49539,152.09383,90,1,45,45,,,,,10,,100,
99,23.49562,152.0938,100,1,50,50,,,,,,,100,
100,23.49583,152.0939,100,1,100,,,,,,,,100,
101,23.496,152.09407,100,1,80,,20,,,,,,100,
102,23.49629,152.09402,80,1,60,,20,,,,20,,100,
103,23.49648,152.09412,0,0,,,,,,,100,,100,
104,23.49664,152.09402,0,0,,,,,,,100,,100,
105,23.49676,152.09381,85,1,65,,20,,,,10,5,100,
106,23.49692,152.09366,80,0,80,,,,,20,,,100,
107,23.4971,152.0936,70,0,70,,,,,20,10,,100,
108,23.49727,152.09381,80,1,40,40,,,,10,10,,100,
109,23.49741,152.09402,85,1,70,15,,,,,,15,100,
110,23.49759,152.09424,50,1,50,,,,,,,50,100,
111,23.49779,152.09435,0,0,,,,,,,100,,100,
112,23.49815,152.09444,0,0,,,,,,,100,,100,
113,23.4984,152.09448,100,1,80,20,,,,,,,100,
114,23.49859,152.09436,80,1,80,,,,,,20,,100,
115,23.49882,152.0945,100,1,50,50,,,,,,,100,
116,23.49907,152.09467,100,1,50,50,,,,,,,100,
117,23.49928,152.09479,70,0,70,,,,,,30,,100,
118,23.4995,152.09491,95,1,15,80,,,,,5,,100,
119,23.49978,152.09473,100,1,50,50,,,,,,,100,
120,23.50006,152.09476,90,1,90,,,,,,10,,100,
121,23.50027,152.09489,100,0,100,,,,,,,,100,
141,23.50049,152.09506,100,1,50,50,,,,,,,100,
142,23.50074,152.09506,100,1,50,50,,,,,,,100,
143,23.50093,152.09523,100,0,100,,,,,,,,100,
144,23.50111,152.09543,60,1,,60,,,,30,,10,100,
145,23.50136,152.09535,90,1,45,45,,,,,,10,100,
146,23.50158,152.0952,100,1,20,80,,,,,,,100,
147,23.50177,152.09531,100,1,90,10,,,,,,,100,
148,23.50199,152.09541,80,1,,80,,,,,20,,100,
149,23.50227,152.09555,90,1,30,60,,,,10,,,100,
150,23.50253,152.09543,100,0,100,,,,,,,,100,
151,23.50272,152.0954,100,1,50,50,,,,,,,100,
152,23.50299,152.09546,100,1,40,40,20,,,,,,100,
153,23.50329,152.09554,80,1,,80,,,,,10,10,100,
154,23.50356,152.09543,70,1,,70,,,,,30,,100,
155,23.50392,152.09549,100,1,50,50,,,,,,,100,
156,23.50423,152.09543,70,0,70,,,,,30,,,100,
157,23.50461,152.09547,0,0,,,,,,60,40,,100,
158,23.50499,152.09555,100,0,100,,,,,,,,100,
159,23.50529,152.09566,50,1,10,40,,,,10,40,,100,
160,23.50554,152.09578,80,1,,80,,,,,,20,100,
161,23.5058,152.09586,90,1,,80,10,,,,,10,100,
162,23.50602,152.09573,90,1,,90,,,,,,10,100,
163,23.50629,152.09572,100,1,,100,,,,,,,100,
164,23.50661,152.09573,70,1,,70,,,,10,20,,100,
165,23.50682,152.09579,100,1,20,,80,,,,,,100,
166,23.50706,152.0957,100,1,80,,20,,,,,,100,
167,23.50723,152.09572,100,0,100,,,,,,,,100,
168,23.50751,152.09581,100,0,100,,,,,,,,100,
169,23.50777,152.09581,100,1,100,,,,,,,,100,
170,23.50787,152.0956,100,1,80,20,,,,,,,100,
171,23.50803,152.09535,100,0,100,,,,,,,,100,
172,23.50838,152.09546,100,1,,50,50,,,,,,100,
173,23.50875,152.09554,100,1,50,50,,,,,,,100,
174,23.50913,152.09557,100,1,80,20,,,,,,,100,
175,23.50934,152.09523,100,1,50,50,,,,,,,100,
176,23.50968,152.09511,100,1,,100,,,,,,,100,
177,23.50978,152.09483,70,1,,70,,,,,,30,100,
178,23.50981,152.09447,100,1,70,30,,,,,,,100,
179,23.50972,152.09409,100,1,50,50,,,,,,,100,
180,23.5102,152.09351,100,1,50,50,,,,,,,100,
181,23.51021,152.09305,100,1,50,50,,,,,,,100,
182,23.51063,152.09277,70,1,,70,,,,,,30,100,
183,23.51121,152.09274,100,0,,,100,,,,,,100,
184,23.51099,152.09244,60,1,,60,,,,40,,,100,
185,23.51063,152.09212,100,1,50,,50,,,,,,100,
186,23.51066,152.09178,50,0,,50,,,,,50,,100,
187,23.51085,152.09131,50,0,,50,,,,,50,,100,
188,23.51113,152.09102,100,0,50,,50,,,,,,100,
189,23.51116,152.09059,100,0,,,100,,,,,,100,
190,23.51101,152.09023,90,0,40,10,40,,,10,,,100,
191,23.51118,152.08971,80,0,,,80,,,,20,,100,
192,23.5113,152.08922,100,1,50,50,,,,,,,100,
193,23.51109,152.0887,70,1,,70,,,,,10,20,100,
194,23.51129,152.0883,75,1,5,70,,,,5,,20,100,
195,23.5116,152.08795,100,1,,100,,,,,,,100,
196,23.51156,152.08755,100,1,,100,,,,,,,100,
197,23.51133,152.08725,90,1,45,45,,,,,,10,100,
198,23.51155,152.08681,90,1,45,45,,,,,,10,100,
199,23.51176,152.08665,100,1,,100,,,,,,,100,
200,23.51146,152.08632,100,1,,100,,,,,,,100,
201,23.51138,152.08589,100,1,,50,50,,,,,,100,
202,23.51154,152.0853,100,1,,50,50,,,,,,100,
203,23.51139,152.08482,80,1,,40,40,,,,,20,100,
204,23.51114,152.08456,60,1,,50,10,,,30,,10,100,
205,23.51142,152.08414,90,1,,70,20,,,10,,,100,
206,23.51129,152.08365,80,1,,80,,,,20,,,100,
207,23.51149,152.08324,80,1,,80,,,,,20,,100,
208,23.51151,152.08282,100,1,,90,10,,,,,,100,
209,23.51123,152.08258,60,1,,60,,,,,30,10,100,
210,23.51149,152.08215,60,1,,60,,,,,,40,100,
211,23.51165,152.08173,90,1,,60,30,,,,,10,100,
212,23.51178,152.08121,90,1,,80,10,,,,,10,100,
213,23.51148,152.08072,90,1,30,50,10,,,,,10,100,
214,23.51125,152.08051,90,1,20,70,,,,,,10,100,
215,23.51126,152.07985,80,1,,80,,,,,10,10,100,
216,23.51131,152.07979,60,1,60,,,,,,20,20,100,
217,23.51086,152.07967,100,1,50,50,,,,,,,100,
218,23.51108,152.07921,100,0,100,,,,,,,,100,
219,23.51119,152.07884,100,0,90,,10,,,,,,100,
220,23.51091,152.07854,80,1,10,50,20,,,10,10,,100,
221,23.51065,152.07849,100,1,40,40,20,,,,,,100,
222,23.51058,152.07832,80,0,50,10,20,,10,,10,,100,
223,23.51097,152.07806,60,1,20,40,,,10,10,20,,100,
224,23.51085,152.0777,100,1,,80,10,10,,,,,100,
225,23.5107,152.07748,100,1,10,70,20,,,,,,100,
226,23.5106,152.07722,100,1,70,20,10,,,,,,100,
227,23.51061,152.07671,100,1,80,20,,,,,,,100,
228,23.51039,152.07628,90,1,20,70,,,,,,10,100,
229,23.51021,152.07593,60,1,,60,,,,,,40,100,
230,23.51042,152.07541,100,1,50,40,10,,,,,,100,
231,23.51016,152.07506,100,1,70,20,10,,,,,,100,
232,23.51013,152.07483,80,1,,80,,,,,,20,100,
233,23.50995,152.07442,90,1,90,,,,,10,,,100,
234,23.101,152.07393,80,1,,80,,,,,20,,100,
235,23.50992,152.07364,50,1,,50,,,,50,,,100,
236,23.5098,152.07315,100,1,,80,20,,,,,,100,
237,23.5097,152.07278,70,1,,10,60,,,,,30,100,
238,23.50927,152.07246,100,1,,80,20,,,,,,100,
239,23.50934,152.07233,10,0,,10,,,,90,,,100,
240,23.50916,152.07201,100,1,45,45,10,,,,,,100,
241,23.50924,152.07152,35,1,20,10,5,,,30,,35,100,
242,23.50931,152.07114,0,0,,,,,,100,,,100,
243,23.50923,152.07079,20,0,,,20,,,80,,,100,
244,23.50901,152.07039,60,0,,,60,,,40,,,100,
245,23.50877,152.07011,90,1,,50,40,,,10,,,100,
246,23.50884,152.06975,60,1,,40,20,,,20,20,,100,
247,23.509,152.06944,30,0,,10,20,,,70,,,100,
248,23.50904,152.06911,50,1,,20,30,,,50,,,100,
249,23.50882,152.06874,60,1,30,30,,,,30,10,,100,
250,23.50871,152.06842,50,1,,50,,,,,40,10,100,
251,23.50879,152.06801,50,0,40,,10,,5,45,,,100,
252,23.50894,152.06769,55,1,,50,5,,,15,30,,100,
253,23.5087,152.06725,60,0,10,30,20,,,40,,,100,
254,23.50863,152.06688,80,0,40,40,,,5,15,,,100,
255,23.50871,152.06654,80,1,,80,,,,,,20,100,
256,23.5087,152.06622,100,1,20,70,10,,,,,,100,
257,23.50861,152.06587,90,1,30,30,30,,,,,10,100,
258,23.5084,152.06554,60,0,40,20,,,,,40,,100,
259,23.50848,152.06514,10,0,,10,,,,,90,,100,
260,23.50857,152.06493,5,0,,,5,,50,45,,,100,
261,23.50835,152.06467,60,0,,,60,,,40,,,100,
262,23.50811,152.06424,80,0,,30,50,,,,,20,100,
263,23.50802,152.0639,80,0,,,80,,,20,,,100,
264,23.50804,152.06357,0,0,,,,,,,100,,100,
265,23.50783,152.06323,60,0,,,60,,,40,,,100,
266,23.50793,152.06276,15,0,,5,10,,,85,,,100,
267,23.50768,152.06242,60,0,,60,,,,40,,,100,
268,23.50749,152.06212,90,1,,90,,,10,,,,100,
269,23.50746,152.06158,90,1,,80,10,,,,,10,100,
270,23.50748,152.0612,70,1,,60,10,,,,30,,100,
271,23.5076,152.06081,80,0,80,,,,,20,,,100,
272,23.50755,152.06053,30,1,,20,10,,,,70,,100,
273,23.50759,152.06024,0,0,,,,,,,100,,100,
274,23.50771,152.05984,100,0,90,,10,,,,,,100,
275,23.50783,152.06956,30,0,,,30,,,70,,,100,
276,23.50769,152.05933,20,0,,,20,,,,80,,100,
277,23.50751,152.05904,90,1,,70,20,,,,,10,100,
278,23.50765,152.05849,50,0,20,,30,,,30,20,,100,
279,23.50765,152.058,40,0,10,,30,,,60,,,100,
280,23.50755,152.05753,80,0,20,40,20,,,20,,,100,
281,23.50751,152.05707,100,1,,80,20,,,,,,100,
282,23.50721,152.05672,80,0,,80,,,,,20,,100,
283,23.5069,152.0565,30,0,30,,,,40,30,,,100,
284,23.50741,152.05612,55,0,45,,10,,,45,,,100,
285,23.50747,152.05579,95,0,,5,90,,,5,,,100,
286,23.50748,152.05542,50,0,,10,40,,10,,40,,100,
287,23.5074,152.05519,80,0,,60,20,,,,20,,100,
288,23.50726,152.05492,80,0,,40,40,,,20,,,100,
289,23.5073,152.05455,100,1,50,50,,,,,,,100,
290,23.50735,152.05431,90,1,,80,10,,,10,,,100,
291,23.50728,152.05406,100,0,,90,10,,,,,,100,
292,23.50714,152.0538,80,1,,80,,,,20,,,100,
293,23.50696,152.05357,80,0,,80,,,,10,10,,100,
294,23.50678,152.05338,70,0,40,30,,,,30,,,100,
295,23.50667,152.05295,70,0,20,50,,,,30,,,100,
296,23.50673,152.05275,75,0,5,70,,,,10,15,,100,
297,23.50685,152.05246,60,0,,60,,,,20,20,,100,
298,23.50681,152.05222,80,0,,80,,,,20,,,100,
299,23.50666,152.0519,40,0,40,,,,,40,20,,100,
300,23.50669,152.05164,90,0,,90,,,,,,10,100,
301,23.50682,152.05139,95,0,,85,10,,,,5,,100,
302,23.50695,152.05115,70,0,,50,20,,,,,30,100,
303,23.50699,152.05092,45,0,40,,5,,,40,15,,100,
304,23.50694,152.05074,100,0,80,,20,,,,,,100,
305,23.50684,152.05052,100,1,,80,20,,,,,,100,
306,23.50674,152.05026,50,0,50,,,,50,,,,100,
307,23.50679,152.05003,80,1,,80,,,,,,20,100,
308,23.50677,152.0499,75,0,25,,50,,,25,,,100,
309,23.5,152.095,80,1,80,,,,,,20,,100,zone 4-11
310,23.50097,152.09555,50,1,50,,,,,20,30,,100,zone 4-12
311,23.502,152.09569,65,1,60,5,,,,,30,5,100,zone 4-13
312,23.50283,152.09586,60,1,,60,,,,,40,,100,zone 4-14
313,23.50476,152.09618,70,1,,70,,,,10,20,,100,zone 4-15
314,23.50723,152.0961,80,1,,80,,,,,20,,100,zone 3-1
315,23.50841,152.09557,60,1,,50,10,,,,40,,100,zone 3-2
316,23.50959,152.09344,75,1,75,,,,,,5,20,100,zone 3-3
317,23.51656,152.09239,90,1,10,80,,,,,10,,100,zone 3-4
318,23.51089,152.09026,95,1,,45,50,,,,5,,100,zone 3-5
319,23.51122,152.0886,60,1,,60,,,,40,,,100,zone 3-6
320,23.5115,152.08688,80,1,80,,,,,,20,,100,zone 3-7
321,23.51157,152.08513,95,1,,95,,,,,5,,100,zone 3-8
322,23.51147,152.085,100,1,,100,,,,,,,100,zone 3-9
323,23.51147,152.08363,75,1,,75,,,,,15,10,100,zone 3-10
324,23.50872,152.06692,100,1,,60,40,,,,,,100,zone 2-1
325,23.50897,152.06856,80,1,,70,10,,,,20,,100,zone 2-2
326,23.50906,152.07,80,1,,75,5,,,,20,,100,zone 2-3
327,23.50897,152.07172,95,1,,90,5,,,,5,,100,zone 2-4
328,23.50958,152.07331,90,1,,80,10,,,,,10,100,zone 2-5
329,23.51031,152.07556,80,1,,80,,,,10,10,,100,zone 2-6
330,23.51042,152.07722,90,1,,70,20,,,10,,,100,zone 2-7
331,23.51072,152.07894,95,1,,95,,,,,5,,100,zone 2-8
332,23.51119,152.08061,80,1,,80,,,,,20,,100,zone 2-9
333,23.51147,152.08228,90,1,,70,20,,,,10,,100,zone 2-10
334,23.50678,152.05,80,1,,80,,,,,5,15,100,zone 1-1
335,23.50697,152.05167,100,1,,80,20,,,,,,100,zone 1-2
336,23.50725,152.05333,80,1,,70,10,,,,20,,100,zone 1-3
337,23.50739,152.05503,80,1,,60,20,,5,5,10,,100,zone 1-4
338,23.5075,152.0565,45,1,,45,,,20,,30,5,100,zone 1-5
339,23.50775,152.05897,80,1,,65,15,,,,20,,100,zone 1-6
340,23.50742,152.06056,100,1,,50,50,,,,,,100,zone 1-7
341,23.5075,152.06278,100,1,,100,,,,,,,100,zone 1-8
342,23.50775,152.0645,80,1,,40,40,,,,20,,100,zone 1-9
343,23.50775,152.06617,90,1,,45,45,,,,,10,100,zone 1-10
